Id,Text
918246288616980480,Females are pimps lol
918877415757135872,If you're looking for work in #EastPeoria  IL  che
918877416302329856,#RespondeMangelexbyius por que no me aman? 🤔
918877404914962436,NEW &amp; HOT! Available in Le Ciel Blue or French
918877407213424640,🤣😂🤣😂 #RealSinBiti @ Cape Fear Valley Health https:
918877412754120704,My homie @breanna_aponte in town &amp; we decided 
918877398896017409,lmfao https://t.co/AvBUgLMAGf
918875288406147072,I do understand as I put 5 kids through college an
918877401093881856,Someone must have called her “Fake Woke” https://t
918877404755410945,We're #hiring! Read about our latest #job opening 
918877413022621701,Really Dad? https://t.co/Tc1MT91pXE
918877403044335617,THOSE PEOPLE https://t.co/AzudpM6V07
918877404994695170,What did I do to deserve such a blessing 😭@gsgeorg
918877411361648640,@ohbabiiitscat @LoyaltyIsLifeQ Oh my 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍
918877414511353858,@mlp_ColeAndCail Y-yeah...
918877410442887170,PLEASE SIGN THIS https://t.co/82w1cUdq2I
918865371104284672,https://t.co/S210Y5dY0b
918877406546485248,@VivaLaDanny_ sas😂
918877406491852800,See our latest #LewisCenter  OH #job and click to 
918877398413619200,Watch it on @ShawTVThompson channel 11 in Thompson
918877409142697984,Sure would be nice to bring playoff baseball back 
918875489628016640,@SafeCityMiss @PRPyouthed @MoralCompass50 @PHCHF @
918852373652692992,Here is the scumbsg’s name who assaulted that gent
918686104617914368,@seanhannity Sean  is this true  are the whereabou
918877414012448768,And they get mad at us 🤷🏾‍♂️ https://t.co/GLklkDFw
918877404696780800,Interested in a #job in #Gilford  NH? This could b
918605525985759238,@QueenzFlip “I guess we’re doing this again” https
918630579788066816,We made one of the worst people on the planet it's
918877406718345216,@boglethemind @Sheeple101 @nicolasDenver @DanaEliz
918877402607972352,Can you recommend anyone for this #job in #NewYork
918877404621426688,decided to do the #spookathon 👻
918877406219268096,I’m waiting..😊 https://t.co/STwInIrTUn
918877405225340935,#holdmycalls🍴🐢 https://t.co/gt50VRneX9
918877410115903488,#NFL  😂😂😂 https://t.co/Vxk28LfNcX
918877407880376320,@grolby "mostly"
918877415065010179,Want to work in #LongBeach  CA? View our latest op
918877402326904833,We're #hiring! Read about our latest #job opening 
918877399952998401,Elementary #school #teachers tell me #weather is t
918877410933854209,@EnergzdEconomy this is better than rent a rebel
918877417170657281,@jfreewright  @Valerie80225496 @pollyislove  wish 
918877406345142272,Join the fastest growing US retailer: Esthetician 
918506993857462272,Since 2000  NFL players have been arrested 855 tim
917837295625162753,@MrPMGlaser 🌟SPECIAL DINNER 🍽EVENT🌟 #ARTIST PAUL M
918877396673146880,#SneakPeek of @ANNIKA59 interviewing with Rolex. S
918877410174496769,Roberto  paciente #HNAM nos deleitó con su gran vo
918877402142597121,I am counting on @RepKevinBrady to protect Texas f
918877411042762752,If you're looking for work in #Stockbridge  GA  ch
918877411198070785,@fkabudu @simplysymmie You again 😂😂😂
918877400095637504,You make a lot of assumptions with me that you kno
918876674023940098,Watch Shaw at 2pm &amp; 6pm on Sunday  Oct. 15th f
918877399265218561,@IRoc_IRoll @IamAkademiks @KuavoKenny no not reall
918877404558393345,#ModeloPenitenciarioRD https://t.co/DjKe0zQZgV
918877411772547072,This #job might be a great fit for you: Class A De
918877400619995142,@hnich1017 @Gnash00 @PredsNHL How adorable!
918877412863152128,@JaclynCashman #GettoKnow the #Artist @MrPMGlaser 
918877407607705602,@BringBackTheBuz The “Alleged” attacker. Someone d
918877413848834048,@glenn_mcan @Mlsessoms @galeabrewer Maybe urbanist
918877401609748480,Can you recommend anyone for this #job? barista - 
918834402397999105,It's sad how quick people are to be like "fake wok
918877400498401280,@Lrihendry where did our hero go? https://t.co/23I
918877401718902785,@RonWyden @Khanoisseur At some point  you have the
918877402272432128,We're #hiring! Click to apply: Carhop/Skating Carh
918877400590462976,Interested in a #job in #Carlsbad  CA? This could 
918877405296574464,Can you recommend anyone for this #job in #StLouis
918877413727199234,I was supposed leave for Texas this morning  but I
918876499599433728,@lowkeynokey @latimes Yes we will fighting the red
918877396245327872,#Friday13 https://t.co/ida2cYD7hc
918877412628115456,@ProDigestive @Stamariatoluca https://t.co/HQIc07Z
918453804525289472,Gastrectomia Radical D1 https://t.co/u7nMrsiRmY
918863195225210880,Wait for someone to love you with consistently. St
918849460859531267,Trump: “I met with the president of the Virgin Isl
918877404642279429,Can someone please explain why no #Loon balloons a
918877407268036611,“WE” hell https://t.co/W3hc0LQ15m
918877411420274688,@doyleMedown thank you! it looks better in the nex
918877402456981504,All u #antifa assholes are offensive.  Get off my 
918877403153358849,@YouKnowTori showed OWT!! Your front WISHED she co
918877411659280389,@dielemke @F_von_Steiner Nicht alle  nur @dielemke
918877404579467265,@DarkMoonComic @LisaVelasquez8 @stevecourtney79 @4
918707831896805376,"If ima die out the whip ima make it look sexy"  h
918102934604468224,El director del @Feda_RD José Casimiro habla ante 
918877409792937985,@DrewQuigley hbd I remember when u were in 3rd gra
918877404189331457,#Halloween doesn't have to be #scary and neither d
918877406521430016,Much appreciated  thank you! https://t.co/rOzMhCpM
918877414339612672,@BenAffleck does NOT need to step down as the #Bat
918877398829076480,When are we going to see some updates to Jean Clau
918877404650598400,This #job might be a great fit for you: Google Arc
